"pid"|"old_size"|"new_size"
12690|"42,5"|"M"
12690|"43"|"M"
12690|"44"|"M"
12690|"44,5"|"M"
12690|"45"|"M"
12690|"45,5"|"L"
12690|"46"|"L"
12690|"47"|"XL"
12690|"47,5"|"XXL"
12695|"39"|"S"
12695|"41"|"S"
12696|"32"|"XS"
12696|"34"|"XS"
12696|"35"|"S"
12696|"36 2/3"|"M"
12696|"37 1/3"|"M"
12696|"38"|"XS"
12696|"38 2/3"|"L"
12698|"39"|"S"
12698|"40"|"S"
12698|"40,5"|"S"
12698|"41"|"S"
12698|"42"|"M"
12698|"42,5"|"M"
12698|"43"|"M"
12698|"44"|"M"
12698|"44,5"|"M"
12698|"45"|"M"
12698|"45,5"|"L"
12698|"46"|"L"
12698|"47"|"XL"
12698|"47,5"|"XXL"
12699|"M"|"M"
12703|"38"|"XS"
12703|"39 1/3"|"S"
12703|"40"|"S"
12703|"40 2/3"|"S"
12703|"41 1/3"|"S"
12703|"42"|"M"
12703|"42 2/3"|"M"
12703|"43 1/3"|"M"
12703|"44"|"M"
12703|"44 2/3"|"M"
12703|"45 1/3"|"L"
12703|"46"|"L"
12703|"46 2/3"|"XL"
12703|"47 1/3"|"XXL"
12703|"48"|"XXL"
12703|"48 2/3"|"XXL"
12704|"42"|"M"
12704|"42,5"|"M"
12704|"43"|"M"
12704|"44"|"M"
12704|"44,5"|"M"
12704|"45"|"M"
12707|"M"|"M"
12708|"S"|"S"
12710|"164"|"XL"
12714|"L ( 152-158 )"|"L"
12714|"S ( 128-140 )"|"S"
12715|"S ( 34/36 )"|"S"
12717|"116"|"XS"
12717|"128"|"S"
12717|"140"|"M"
12717|"152"|"L"
12717|"164"|"XL"
12720|"2XL"|"XXL"
12720|"L"|"L"
12720|"M"|"M"
12720|"S"|"S"
12720|"XL"|"XL"
12721|"33"|"XS"
12721|"33,5"|"XS"
12721|"34"|"XS"
12721|"36"|"XS"
12721|"36,5"|"M"
12721|"37,5"|"M"
12721|"38"|"XS"
12721|"38,5"|"L"
12726|"39/42"|"M"
12726|"43/46"|"L"
12730|"41"|"S"
12730|"42,5"|"M"
12730|"44"|"M"
12732|"42"|"M"
12733|"L"|"L"
12734|"L"|"L"
12734|"M"|"M"
12734|"S"|"S"
12738|"44,5"|"M"
12742|"S"|"S"
12744|"38"|"XS"
12744|"44"|"M"
12744|"44,5"|"M"
12744|"45"|"M"
12745|"S"|"S"
12746|"L"|"L"
12746|"M"|"M"
12746|"S"|"S"
12747|"164"|"XL"
12747|"176"|"XXL"
12755|"38"|"XS"
12756|"L"|"L"
12756|"M"|"M"
12756|"XL"|"XL"
12757|"L"|"L"
12761|"L ( 152-158 )"|"L"
12761|"XL ( 158-170 )"|"XL"
12765|"128"|"S"
12765|"140"|"M"
12765|"176"|"XXL"
12771|"L"|"L"
12771|"M"|"M"
12771|"XL"|"XL"
12774|"41"|"S"
12775|"M ( 140-152 )"|"M"
12776|"S"|"S"
12780|"152"|"L"
12780|"164"|"XL"
12780|"176"|"XXL"
12782|"XL ( 158-170 )"|"XL"
12785|"L"|"L"
12785|"XL"|"XL"
12786|"2XL"|"XXL"
12786|"L"|"L"
12786|"M"|"M"
12786|"S"|"S"
12786|"XL"|"XL"
12788|"M"|"M"
12789|"L ( 42-46 )"|"L"
12789|"M ( 38-42 )"|"M"
12789|"S ( 34-38 )"|"S"
12789|"XL (46-50 )"|"XL"
12790|"36,5"|"M"
12795|"L"|"L"
12795|"M"|"M"
12799|"M"|"M"
12799|"S"|"S"
12800|"41"|"S"
12800|"43"|"M"
12800|"44"|"M"
12800|"44,5"|"M"
12800|"45"|"M"
12802|"L"|"L"
12802|"M"|"M"
12803|"41"|"S"
12805|"M"|"M"
12805|"S"|"S"
12805|"XL"|"XL"
12807|"3 ( 40-42 )"|"M"
12809|"38"|"XS"
12809|"38,5"|"M"
12809|"40"|"S"
12809|"40,5"|"L"
12809|"41"|"L"
12810|"L"|"L"
12816|"46 2/3"|"XL"
12818|"L"|"L"
12818|"S"|"S"
12818|"XL"|"XL"
12820|"M ( 140-152 )"|"M"
12824|"40"|"S"
12824|"40 2/3"|"S"
12824|"42 2/3"|"M"
12824|"43 1/3"|"M"
12824|"44"|"M"
12824|"44 2/3"|"M"
12824|"46 2/3"|"XL"
12824|"47 1/3"|"XXL"
12825|"39"|"S"
12825|"40"|"S"
12828|"L ( 152-158 )"|"L"
12839|"3 ( 40-42 )"|"M"
12839|"4 ( 43-45 )"|"L"
12839|"5 ( 46-48 )"|"XL"
12841|"L"|"L"
12844|"1 ( 34-36 )"|"XS"
12844|"2 ( 37-39 )"|"S"
12844|"3 ( 40-42 )"|"M"
12844|"4 ( 43-45 )"|"L"
12844|"5 ( 46-48 )"|"XL"
12845|"M"|"M"
12846|"40"|"S"
12846|"40 2/3"|"S"
12846|"41 1/3"|"S"
12846|"42"|"M"
12846|"42 2/3"|"M"
12846|"43 1/3"|"M"
12846|"44"|"M"
12846|"44 2/3"|"M"
12846|"45 1/3"|"L"
12846|"46"|"L"
12846|"46 2/3"|"XL"
12850|"L ( 152-158 )"|"L"
12850|"M ( 140-152 )"|"M"
12851|"40"|"S"
12852|"L"|"L"
12858|"46"|"L"
12859|"39 1/3"|"S"
12859|"40 2/3"|"S"
12859|"42"|"M"
12859|"42 2/3"|"M"
12859|"43 1/3"|"M"
12859|"44"|"M"
12859|"44 2/3"|"M"
12859|"45 1/3"|"L"
12860|"3 ( 40-42 )"|"M"
12860|"4 ( 43-45 )"|"L"
12860|"5 ( 46-48 )"|"XL"
12861|"L ( 42-46 )"|"L"
12861|"M ( 38-42 )"|"M"
12861|"S ( 34-38 )"|"S"
12861|"XL (46-50 )"|"XL"
12870|"M ( 38/40 )"|"M"
12870|"XS ( 32/34 )"|"XS"
12872|"44,5"|"M"
12872|"47"|"XL"
12873|"42"|"M"
12873|"42 2/3"|"M"
12873|"43 1/3"|"M"
12873|"44"|"M"
12874|"XS ( 116-128 )"|"XS"
12875|"L"|"L"
12881|"39"|"S"
12881|"41"|"S"
12881|"42,5"|"M"
12881|"43"|"M"
12881|"44"|"M"
12881|"44,5"|"M"
12881|"45"|"M"
12881|"45,5"|"L"
12881|"46"|"L"
12881|"47"|"XL"
12883|"M"|"M"
12884|"L ( 152-158 )"|"L"
12884|"M ( 140-152 )"|"M"
12884|"S ( 128-140 )"|"S"
12884|"XL ( 158-170 )"|"XL"
12893|"3XL"|"XXL"
12894|"43"|"M"
12896|"2XL"|"XXL"
12896|"L"|"L"
12896|"M"|"M"
12896|"XL"|"XL"
12898|"L"|"L"
12901|"2XL"|"XXL"
12901|"L"|"L"
12901|"M"|"M"
12901|"S"|"S"
12901|"XL"|"XL"
12903|"M"|"M"
12905|"S ( 128-140 )"|"S"
12914|"L"|"L"
12914|"M"|"M"
12916|"5 ( 43-46 )"|"XL"
12918|"L"|"L"
12918|"S"|"S"
12918|"XL"|"XL"
12919|"L ( 152-158 )"|"L"
12919|"M ( 140-152 )"|"M"
12919|"S ( 128-140 )"|"S"
12919|"XL ( 158-170 )"|"XL"
12922|"38"|"XS"
12923|"31"|"XS"
12924|"M"|"M"
12924|"XL"|"XL"
12927|"32"|"XS"
12927|"35,5"|"S"
12927|"36"|"XS"
12927|"36,5"|"M"
12927|"37,5"|"M"
12927|"38"|"XS"
12927|"38,5"|"L"
12935|"4 ( 39-42 )"|"L"
12937|"4 ( 43-45 )"|"L"
12937|"5 ( 46-48 )"|"XL"
12938|"2XL"|"XXL"
12938|"L"|"L"
12938|"XL"|"XL"
12943|"M"|"M"
12947|"L ( 40/42 )"|"L"
12948|"L"|"L"
12951|"40 2/3"|"S"
12951|"42"|"M"
12951|"42 2/3"|"M"
12952|"L ( 152-158 )"|"L"
12952|"M ( 140-152 )"|"M"
12952|"S ( 128-140 )"|"S"
12952|"XL ( 158-170 )"|"XL"
12953|"M ( 140-152 )"|"M"
12953|"XL ( 158-170 )"|"XL"
12954|"41 - 44"|"L"
12954|"45 - 47"|"XXL"
12957|"14/16 (164-176)"|"XL"
12960|"M"|"M"
12960|"S"|"S"
12960|"XL"|"XL"
12962|"L ( 152-158 )"|"L"
12962|"S ( 128-140 )"|"S"
12962|"XS ( 116-128 )"|"XS"
12970|"10 (36-40)"|"L"
12970|"14 (46-48)"|"XXL"
12974|"2XL"|"XXL"
12974|"L"|"L"
12974|"M"|"M"
12974|"S"|"S"
12974|"XL"|"XL"
12975|"41"|"S"
12975|"42"|"M"
12975|"42,5"|"M"
12975|"43"|"M"
12975|"44"|"M"
12975|"44,5"|"M"
12975|"45"|"M"
12975|"45,5"|"L"
12975|"46"|"L"
12976|"42"|"M"
12976|"44"|"M"
12981|"L ( 40/42 )"|"L"
12983|"46"|"L"
12984|"35 - 38"|"M"
12984|"39 - 42"|"M"
12984|"43 - 46"|"XL"
12985|"2XL"|"XXL"
12985|"L"|"L"
12985|"S"|"S"
12985|"XL"|"XL"
12985|"XS"|"XS"
12987|"40"|"S"
12987|"41 1/3"|"XL"
12988|"0 ( 31-33 )"|"XS"
12988|"00 ( 27-30 )"|"XS"
12988|"1 ( 34-36 )"|"XS"
12988|"2 ( 37-39 )"|"S"
12988|"3 ( 40-42 )"|"M"
12988|"4 ( 43-45 )"|"L"
12988|"5 ( 46-48 )"|"XL"
12992|"M"|"M"
12996|"M"|"M"
12999|"2XL"|"XXL"
12999|"L"|"L"
12999|"M"|"M"
12999|"S"|"S"
12999|"XL"|"XL"
13000|"M"|"M"
13001|"38,5"|"L"
13002|"XL ( 44/46 )"|"XL"
13003|"40"|"S"
13003|"40,5"|"S"
13003|"41"|"S"
13003|"42"|"M"
13003|"42,5"|"M"
13003|"43"|"M"
13003|"44"|"M"
13003|"44,5"|"M"
13003|"45"|"M"
13003|"45,5"|"L"
13003|"46"|"L"
13003|"47"|"XL"
13008|"2XL"|"XXL"
13008|"L"|"L"
13008|"M"|"M"
13008|"S"|"S"
13008|"XL"|"XL"
13011|"L"|"L"
13011|"M"|"M"
13011|"S"|"S"
13011|"XL"|"XL"
13017|"42,5"|"M"
13019|"38"|"XS"
13023|"M ( 38/40 )"|"M"
13023|"S ( 34/36 )"|"S"
13023|"XS ( 32/34 )"|"XS"
13027|"42"|"M"
13031|"L ( 40/42 )"|"L"
13031|"M ( 38/40 )"|"M"
13031|"S ( 34/36 )"|"S"
13031|"XS ( 32/34 )"|"XS"
13032|"102 (M)"|"XS"
13033|"2"|"XS"
13036|"L"|"L"
13036|"XL"|"XL"
13038|"33"|"XS"
13038|"37 1/3"|"M"
13038|"38 2/3"|"L"
13045|"L ( 42-46 )"|"L"
13045|"M ( 38-42 )"|"M"
13048|"L"|"L"
13054|"164"|"XL"
13058|"3XL"|"XXL"
13058|"L"|"L"
13058|"M"|"M"
13058|"S"|"S"
13058|"XL"|"XL"
13064|"S"|"S"
13067|"L"|"L"
13067|"M"|"M"
13068|"46"|"L"
13069|"140"|"M"
13069|"164"|"XL"
13072|"41 1/3"|"S"
13072|"44"|"M"
13072|"44 2/3"|"M"
13072|"45 1/3"|"L"
13072|"46"|"L"
13073|"L"|"L"
13076|"41 1/3"|"S"
13076|"42"|"M"
13076|"42 2/3"|"M"
13076|"43 1/3"|"M"
13076|"44"|"M"
13076|"44 2/3"|"M"
13076|"45 1/3"|"L"
13076|"46"|"L"
13076|"48"|"XXL"
13079|"2XL"|"XXL"
13079|"XL"|"XL"
13081|"42,5"|"M"
13082|"L"|"L"
13083|"128"|"S"
13083|"152"|"L"
13083|"164"|"XL"
13085|"32"|"XS"
13085|"33"|"XS"
13085|"33,5"|"XS"
13085|"34"|"XS"
13085|"35"|"S"
13085|"36"|"XS"
13085|"36,5"|"M"
13085|"37,5"|"M"
13085|"38"|"XS"
13085|"38,5"|"L"
13086|"S ( 128-140 )"|"S"
13086|"XL ( 158-170 )"|"XL"
13087|"L"|"L"
13087|"M"|"M"
13087|"S"|"S"
13093|"128"|"S"
13093|"140"|"M"
13093|"152"|"L"
13093|"164"|"XL"
13099|"S ( 34/36 )"|"S"
13100|"M"|"M"
13101|"2 ( Senior )"|"L"
13104|"2XL"|"XXL"
13104|"L"|"L"
13104|"S"|"S"
13104|"XL"|"XL"
13108|"38"|"XS"
13109|"14/16 (164-176)"|"XL"
13112|"L ( 152-158 )"|"L"
13112|"M ( 140-152 )"|"M"
13112|"S ( 128-140 )"|"S"
13112|"XL ( 158-170 )"|"XL"
13117|"L ( 152-158 )"|"L"
13117|"M ( 140-152 )"|"M"
13117|"S ( 128-140 )"|"S"
13117|"XL ( 158-170 )"|"XL"
13117|"XS ( 116-128 )"|"XS"
13122|"38"|"XS"
13124|"3 ( 40-42 )"|"M"
13124|"4 ( 43-45 )"|"L"
13125|"38,5"|"M"
13125|"39"|"M"
13125|"40"|"S"
13125|"40,5"|"L"
13125|"41"|"L"
13125|"42"|"M"
13126|"40,5"|"L"
13129|"L"|"L"
13132|"39 1/3"|"S"
13135|"L ( 152-158 )"|"L"
13136|"L ( 152-158 )"|"L"
13136|"M ( 140-152 )"|"M"
13136|"S ( 128-140 )"|"S"
13136|"XL ( 158-170 )"|"XL"
13136|"XS ( 116-128 )"|"XS"
13137|"L ( 40/42 )"|"L"
13137|"M ( 38/40 )"|"M"
13137|"S ( 34/36 )"|"S"
13138|"M"|"M"
13141|"M"|"M"
13141|"XS"|"XS"
13144|"164"|"XL"
13145|"XL"|"XL"
13147|"38 2/3"|"L"
13151|"2XL"|"XXL"
13151|"M"|"M"
13152|"3 (35-38 )"|"M"
13152|"5 ( 43-46 )"|"XL"
13155|"38"|"XS"
13156|"42"|"M"
13157|"L"|"L"
13164|"47"|"XL"
13172|"M"|"M"
13180|"L"|"L"
13180|"M"|"M"
13182|"42"|"M"
13182|"44"|"M"
13183|"L ( 42-46 )"|"L"
13183|"M ( 38-42 )"|"M"
13183|"S ( 34-38 )"|"S"
13183|"XL (46-50 )"|"XL"
13183|"XS ( 30-34 )"|"XS"
13185|"2XL"|"XXL"
13185|"L"|"L"
13185|"M"|"M"
13185|"S"|"S"
13185|"XL"|"XL"
13185|"XS"|"XS"
13189|"M ( 140-152 )"|"M"
13189|"S ( 128-140 )"|"S"
13189|"XL ( 158-170 )"|"XL"
13190|"40"|"S"
13190|"42,5"|"M"
13190|"44,5"|"M"
13191|"128"|"S"
13191|"164"|"XL"
13195|"128"|"S"
13195|"140"|"M"
13195|"152"|"L"
13195|"164"|"XL"
13195|"176"|"XXL"
13197|"42,5"|"M"
13198|"2XL"|"XXL"
13198|"L"|"L"
13198|"M"|"M"
13198|"S"|"S"
13198|"XL"|"XL"
13199|"38"|"XS"
13199|"40,5"|"L"
13202|"39"|"S"
13203|"L ( 152-158 )"|"L"
13203|"M ( 140-152 )"|"M"
13204|"38"|"XS"
13206|"42"|"M"
13220|"L"|"L"
13224|"M"|"M"
13224|"S"|"S"
13225|"44"|"M"
13226|"41"|"S"
13226|"42"|"M"
13226|"42,5"|"M"
13226|"43"|"M"
13226|"45"|"M"
13226|"46"|"L"
13227|"128"|"S"
13231|"M"|"M"
13231|"S"|"S"
13232|"S"|"S"
13233|"L"|"L"
13233|"M"|"M"
13233|"XL"|"XL"
13235|"40,5"|"S"
13235|"42"|"M"
13235|"44,5"|"M"
13236|"XL"|"XL"
13238|"L"|"L"
13238|"M"|"M"
13238|"S"|"S"
13238|"XL"|"XL"
13242|"2XL"|"XXL"
13242|"L"|"L"
13242|"M"|"M"
13242|"S"|"S"
13242|"XL"|"XL"
13243|"43 1/3"|"M"
13247|"L"|"L"
13248|"M"|"M"
13250|"44"|"M"
13252|"41"|"S"
13252|"43"|"M"
13252|"44"|"M"
13252|"44,5"|"M"
13252|"45"|"M"
13252|"46"|"L"
13252|"47,5"|"XXL"
13256|"40"|"S"
13261|"L"|"L"
13261|"M"|"M"
13262|"M"|"M"
13262|"S"|"S"
13262|"XL"|"XL"
13264|"39"|"S"
13265|"L ( 152-158 )"|"L"
13265|"XL ( 158-170 )"|"XL"
13269|"37 - 40"|"S"
13269|"41 - 44"|"L"
13269|"45 - 47"|"XXL"
13272|"44,5"|"M"
13274|"XL ( 158-170 )"|"XL"
13276|"42"|"M"
13276|"43"|"M"
13276|"44"|"M"
13276|"44,5"|"M"
13276|"45"|"M"
13276|"45,5"|"L"
13276|"47,5"|"XXL"
13279|"L"|"L"
13279|"M"|"M"
13279|"S"|"S"
13279|"XL"|"XL"
13282|"38"|"XS"
13284|"2XL"|"XXL"
13284|"L"|"L"
13284|"M"|"M"
13284|"XL"|"XL"
13286|"L"|"L"
13286|"M"|"M"
13288|"L"|"L"
13288|"M"|"M"
13288|"XL"|"XL"
13291|"44"|"M"
13291|"44,5"|"M"
13293|"L"|"L"
13293|"M"|"M"
13294|"44"|"M"
13298|"35"|"S"
13298|"36"|"XS"
13298|"37,5"|"M"
13301|"2XL"|"XXL"
13301|"L"|"L"
13301|"M"|"M"
13301|"XL"|"XL"
13307|"37,5"|"M"
13313|"L"|"L"
13313|"M"|"M"
13313|"XL"|"XL"
13314|"40,5"|"S"
13315|"XL"|"XL"
13316|"40,5"|"S"
13316|"42,5"|"M"
13316|"43"|"M"
13316|"45"|"M"
13316|"47"|"XL"
13318|"42,5"|"M"
13318|"45,5"|"L"
13318|"47,5"|"XXL"
13320|"42"|"M"
13320|"42,5"|"M"
13320|"43"|"M"
13320|"44"|"M"
13320|"45"|"M"
13324|"40,5"|"S"
13326|"40,5"|"S"
13326|"42,5"|"M"
13327|"L"|"L"
13327|"XL"|"XL"
13328|"L ( 40/42 )"|"L"
13331|"L"|"L"
13331|"M"|"M"
13332|"S"|"S"
13334|"39"|"S"
13334|"40,5"|"S"
13335|"2XL"|"XXL"
13336|"31"|"XS"
13336|"32"|"XS"
13336|"33"|"XS"
13336|"36,5"|"M"
13336|"37,5"|"M"
13336|"38"|"XS"
13336|"38,5"|"L"
13337|"38"|"XS"
13339|"L"|"L"
13339|"M"|"M"
13339|"S"|"S"
13339|"XL"|"XL"
13342|"2XL"|"XXL"
13342|"L"|"L"
13342|"M"|"M"
13342|"S"|"S"
13343|"L"|"L"
13343|"M"|"M"
13343|"S"|"S"
13343|"XL"|"XL"
13347|"2 ( 35-38 )"|"S"
13347|"4 ( 43-46 )"|"L"
13347|"5 ( 47-49 )"|"XL"
13348|"M"|"M"
13355|"44"|"M"
13355|"45,5"|"L"
13356|"41 1/3"|"S"
13356|"42"|"M"
13356|"42 2/3"|"M"
13356|"43 1/3"|"M"
13356|"44"|"M"
13357|"1 ( Junior)"|"M"
13362|"42"|"M"
13362|"43 1/3"|"M"
13362|"44"|"M"
13362|"45 1/3"|"L"
13365|"43 1/3"|"M"
13365|"44"|"M"
13366|"M"|"M"
13371|"140/152"|"M"
13371|"164/176"|"XL"
13372|"L"|"L"
13372|"M"|"M"
13374|"L"|"L"
13374|"M"|"M"
13375|"L"|"L"
13375|"S"|"S"
13376|"L"|"L"
13377|"43"|"M"
13377|"44,5"|"M"
13377|"45"|"M"
13379|"31"|"XS"
13379|"38 2/3"|"L"
13381|"2XL"|"XXL"
13381|"L"|"L"
13381|"M"|"M"
13381|"S"|"S"
13381|"XL"|"XL"
13386|"XL"|"XL"
13390|"40 2/3"|"S"
13390|"41 1/3"|"S"
13390|"42"|"M"
13390|"44"|"M"
13394|"L"|"L"
13394|"M"|"M"
13398|"S ( 128-140 )"|"S"
13398|"XL ( 158-170 )"|"XL"
13401|"2XL"|"XXL"
13401|"L"|"L"
13401|"M"|"M"
13401|"S"|"S"
13401|"XL"|"XL"
13401|"XS"|"XS"
13404|"2XL"|"XXL"
13404|"L"|"L"
13404|"M"|"M"
13404|"S"|"S"
13404|"XL"|"XL"
13410|"41"|"S"
13410|"42"|"M"
13410|"44,5"|"M"
13411|"39 1/3"|"M"
13414|"39"|"M"
13418|"L ( 152-158 )"|"L"
13418|"S ( 128-140 )"|"S"
13418|"XL ( 158-170 )"|"XL"
13419|"40"|"S"
13421|"L"|"L"
13421|"S"|"S"
13421|"XL"|"XL"
13422|"29"|"XS"
13422|"37 1/3"|"M"
13422|"38"|"XS"
13427|"45,5"|"L"
13427|"46"|"L"
13428|"39"|"S"
13428|"40"|"S"
13428|"40,5"|"S"
13428|"41"|"S"
13428|"42"|"M"
13428|"42,5"|"M"
13428|"43"|"M"
13428|"44"|"M"
13428|"44,5"|"M"
13428|"45"|"M"
13428|"46"|"L"
13428|"47"|"XL"
13428|"47,5"|"XXL"
13430|"42"|"M"
13430|"42,5"|"M"
13430|"43"|"M"
13430|"44"|"M"
13430|"44,5"|"M"
13435|"36"|"XS"
13436|"152"|"L"
13437|"M"|"M"
13441|"2XL"|"XXL"
13441|"L"|"L"
13441|"M"|"M"
13441|"S"|"S"
13441|"XL"|"XL"
13449|"38"|"XS"
13452|"40 2/3"|"S"
13452|"42"|"M"
13452|"43 1/3"|"M"
13452|"44 2/3"|"M"
13452|"45 1/3"|"L"
13452|"46 2/3"|"XL"
13454|"164/176"|"XL"
13455|"41"|"S"
13455|"42,5"|"M"
13455|"44"|"M"
13455|"45"|"M"
13455|"46"|"L"
13458|"128"|"S"
13458|"140"|"M"
13458|"152"|"L"
13458|"164"|"XL"
13460|"43 1/3"|"M"
13460|"44"|"M"
13460|"44 2/3"|"M"
13460|"45 1/3"|"L"
13463|"M"|"M"
13463|"S"|"S"
13467|"176"|"XXL"
13471|"40"|"S"
13471|"44,5"|"M"
13471|"45,5"|"L"
13471|"47"|"XL"
13474|"L"|"L"
13474|"M"|"M"
13474|"S"|"S"
13474|"XL"|"XL"
13475|"164"|"XL"
13476|"38"|"XS"
13477|"44,5"|"M"
13479|"L"|"L"
13483|"S"|"S"
13484|"M"|"M"
13485|"0 ( 31-33 )"|"XS"
13485|"1 ( 34-36 )"|"XS"
13485|"2 ( 37-39 )"|"S"
13485|"3 ( 40-42 )"|"M"
13485|"4 ( 43-45 )"|"L"
13485|"5 ( 46-48 )"|"XL"
13497|"L ( 152-158 )"|"L"
13497|"M ( 140-152 )"|"M"
13497|"XL ( 158-170 )"|"XL"
13499|"M"|"M"
13499|"S"|"S"
13500|"140"|"M"
13500|"152"|"L"
13500|"164"|"XL"
13505|"M ( 140-152 )"|"M"
13505|"S ( 128-140 )"|"S"
13505|"XS ( 116-128 )"|"XS"
13508|"2XL"|"XXL"
13508|"L"|"L"
13508|"M"|"M"
13508|"S"|"S"
13508|"XL"|"XL"
13514|"35/38"|"S"
13514|"39/42"|"M"
13514|"43/46"|"L"
13515|""|"L"
13518|"34"|"XS"
13518|"36"|"XS"
13521|"44"|"M"
13522|"44 2/3"|"M"
13523|"M"|"M"
13523|"XL"|"XL"
13524|"6 ( 47-50 )"|"XXL"
13525|"164"|"XL"
13528|"4 ( 43-45 )"|"L"
13532|"2XL"|"XXL"
13532|"L"|"L"
13532|"M"|"M"
13532|"S"|"S"
13532|"XL"|"XL"
13533|"40 2/3"|"L"
13534|"1 ( Junior)"|"M"
13534|"2 ( Senior )"|"L"
13535|"41"|"S"
13535|"42"|"M"
13535|"42,5"|"M"
13535|"44"|"M"
13535|"44,5"|"M"
13535|"45"|"M"
13535|"47,5"|"XXL"
13540|"L"|"L"
13544|"L ( 152-158 )"|"L"
13544|"XS ( 116-128 )"|"XS"
13545|"L"|"L"
13548|"152"|"L"
13548|"164"|"XL"
13549|"XL"|"XL"
13553|"L"|"L"
13553|"M"|"M"
13553|"S"|"S"
13553|"XL"|"XL"
13561|"M"|"M"
13564|"L"|"L"
13564|"M"|"M"
13567|"40"|"S"
13567|"40,5"|"S"
13567|"41"|"S"
13567|"42"|"M"
13567|"42,5"|"M"
13567|"43"|"M"
13567|"44"|"M"
13567|"44,5"|"M"
13567|"45"|"M"
13567|"45,5"|"L"
13567|"46"|"L"
13567|"47"|"XL"
13567|"47,5"|"XXL"
13569|"41"|"S"
13572|"40,5"|"S"
13579|"L"|"L"
13582|"L ( 152-158 )"|"L"
13582|"M ( 140-152 )"|"M"
13582|"XL ( 158-170 )"|"XL"
13584|"42"|"M"
13584|"42,5"|"M"
13584|"43"|"M"
13584|"44"|"M"
13584|"44,5"|"M"
13584|"45"|"M"
13584|"45,5"|"L"
13584|"46"|"L"
13585|"L"|"L"
13585|"M"|"M"
13585|"XL"|"XL"
13587|"L"|"L"
13588|"S ( 34/36 )"|"S"
13591|"41 1/3"|"S"
13593|"45"|"M"
13595|"L ( 152-158 )"|"L"
13595|"XL ( 158-170 )"|"XL"
13596|"39"|"M"
13599|"L"|"L"
13599|"M"|"M"
13599|"S"|"S"
13599|"XL"|"XL"
13600|"S ( 34/36 )"|"S"
13605|"L ( 152-158 )"|"L"
13607|"39"|"S"
13607|"40"|"S"
13607|"40,5"|"S"
13607|"41"|"S"
13607|"42"|"M"
13607|"42,5"|"M"
13607|"43"|"M"
13607|"44"|"M"
13607|"44,5"|"M"
13607|"45"|"M"
13607|"45,5"|"L"
13607|"46"|"L"
13607|"47"|"XL"
13607|"47,5"|"XXL"
13609|"M"|"M"
13609|"XL"|"XL"
13610|"L"|"L"
13611|"43"|"M"
13611|"44"|"M"
13611|"44,5"|"M"
13612|"40,5"|"S"
13612|"41"|"S"
13612|"42"|"M"
13612|"42,5"|"M"
13612|"43"|"M"
13612|"44"|"M"
13612|"44,5"|"M"
13612|"45"|"M"
13612|"45,5"|"L"
13612|"47"|"XL"
13612|"47,5"|"XXL"
13616|"36"|"XS"
13617|"40"|"S"
13617|"40,5"|"S"
13618|"42 2/3"|"M"
13618|"43 1/3"|"M"
13618|"44"|"M"
13619|"XL"|"XL"
13620|"44"|"M"
13624|"S"|"S"
13628|"L/XL ( 39-47 )"|"L"
13630|"42 2/3"|"M"
13630|"44 2/3"|"M"
13630|"46"|"L"
13630|"48 2/3"|"XXL"
13632|"XL"|"XL"
13637|"41"|"S"
13637|"44,5"|"M"
13637|"45"|"M"
13642|"2XL"|"XXL"
13642|"M"|"M"
13643|"44"|"M"
13645|"L ( 152-158 )"|"L"
13647|"M ( 38/40 )"|"M"
13647|"S ( 34/36 )"|"S"
13648|"35"|"S"
13648|"35,5"|"S"
13648|"38"|"XS"
13648|"38,5"|"L"
13649|"38"|"XS"
13649|"40"|"S"
13651|"40"|"S"
13651|"45"|"M"
13655|"42"|"M"
13655|"42 2/3"|"M"
13655|"43 1/3"|"M"
13655|"44"|"M"
13655|"46 2/3"|"XL"
13656|"L"|"L"
13657|"140"|"M"
13657|"164"|"XL"
13668|"40"|"S"
13669|"2XL"|"XXL"
13671|"L"|"L"
13671|"M"|"M"
13671|"S"|"S"
13671|"XL"|"XL"
13675|"L ( 152-158 )"|"L"
13675|"XL ( 158-170 )"|"XL"
13676|"L"|"L"
13676|"M"|"M"
13676|"S"|"S"
13676|"XL"|"XL"
13681|"152"|"L"
13681|"164"|"XL"
13686|"41"|"S"
13686|"42,5"|"M"
13686|"45,5"|"L"
13690|"2XL"|"XXL"
13691|"L"|"L"
13691|"M"|"M"
13691|"S"|"S"
13692|"40,5"|"S"
13692|"42"|"M"
13692|"42,5"|"M"
13692|"43"|"M"
13692|"44"|"M"
13692|"44,5"|"M"
13692|"45,5"|"L"
13692|"46"|"L"
13693|"S ( 36 )"|"S"
13696|"2 ( Senior )"|"L"
13697|"44,5"|"M"
13699|"32"|"XS"
13699|"33"|"XS"
13699|"33,5"|"XS"
13699|"36"|"XS"
13705|"42 2/3"|"M"
13713|"S ( 34/36 )"|"S"
13716|"M ( 38/40 )"|"M"
13718|"M"|"M"
13719|"42,5"|"M"
13721|"2XL"|"XXL"
13721|"L"|"L"
13721|"M"|"M"
13721|"S"|"S"
13721|"XL"|"XL"
13726|"36,5"|"M"
13729|"2XL"|"XXL"
13730|"L"|"L"
13730|"M"|"M"
13733|"2XL"|"XXL"
13733|"L"|"L"
13733|"M"|"M"
13733|"S"|"S"
13733|"XL"|"XL"
